ID_клиента,Возраст,Пол,Город,Банк,Тип_клиента,Канал_обслуживания,Кредитный_рейтинг,Срок_обслуживания_лет,Баланс,Количество_продуктов,Есть_кредитная_карта,Активный_клиент,Примерная_зарплата,Количество_жалоб,Обращения_в_поддержку,Использование_приложения_в_месяц,Сумма_кредитов,Просрочки_по_кредитам,Средняя_оценка_сервиса,Отток
19,31,Женщина,Астана,Kaspi Bank,Обычный,Мобильное приложение,552,1,125079.63,3,1,0,322683.94,0,1,13,1109320.45,1,4.3,0
20,25,Мужчина,Алматы,Halyk Bank,Новый,Мобильное приложение,677,0,154328.45,3,1,1,237132.34,3,3,3,1191464.28,0,5.0,0
21,59,Женщина,Алматы,Halyk Bank,Новый,Мобильное приложение,518,6,22653.34,3,1,1,249878.72,1,0,0,0.0,5,3.8,1
22,39,Мужчина,Астана,Jusan Bank,Обычный,Отделение,745,0,167739.54,4,1,0,116573.3,0,3,16,397214.78,0,4.6,0
23,42,Женщина,Караганда,Halyk Bank,Новый,Колл-центр,598,3,69826.04,1,1,1,137762.28,2,1,21,743076.73,0,3.2,0
24,24,Женщина,Павлодар,Bereke Bank,Новый,Мобильное приложение,635,9,92703.46,4,1,1,213344.06,2,1,1,745663.86,0,3.0,0
25,35,Женщина,Караганда,Bereke Bank,Новый,Колл-центр,727,9,115777.52,1,1,1,62072.07,2,1,15,1471443.62,2,3.0,0
26,43,Женщина,Актобе,Jusan Bank,Обычный,Отделение,719,8,203684.31,1,1,1,321168.92,1,3,3,836430.67,1,4.6,0
27,28,Женщина,Караганда,ForteBank,Новый,Отделение,692,9,111879.72,1,0,0,155032.64,0,2,15,670845.14,1,5.0,0
28,46,Женщина,Актобе,Halyk Bank,Обычный,Мобильное приложение,742,2,61326.17,1,0,1,50000.0,2,1,8,383308.73,1,4.8,1
29,34,Мужчина,Алматы,Kaspi Bank,Обычный,Интернет-банк,686,5,203356.85,1,1,1,274826.04,0,2,17,916533.06,0,3.8,0
30,38,Женщина,Павлодар,Halyk Bank,Новый,Мобильное приложение,780,9,50039.85,1,1,1,126145.98,1,1,8,1687600.36,0,2.8,0
31,34,Женщина,Астана,Halyk Bank,Новый,Мобильное приложение,496,10,86700.57,3,0,1,282648.0,1,2,11,1445074.48,0,4.0,0
32,64,Мужчина,Павлодар,Halyk Bank,Новый,Отделение,644,8,206298.29,1,0,0,269966.07,1,1,6,885790.41,1,3.4,0
33,41,Женщина,Алматы,ForteBank,Обычный,Интернет-банк,640,3,157505.38,2,0,1,129768.7,2,1,16,608323.52,0,3.7,0
34,29,Мужчина,Шымкент,Halyk Bank,Обычный,Отделение,630,2,76277.88,4,1,0,149362.18,2,2,0,118140.78,0,4.0,0
35,51,Женщина,Караганда,Jusan Bank,Новый,Колл-центр,694,4,53307.0,1,1,1,231867.57,1,3,0,139498.5,0,3.4,0
36,27,Женщина,Павлодар,Halyk Bank,Обычный,Мобильное приложение,669,10,160025.22,4,0,1,112180.75,2,2,10,1128273.62,0,3.6,0
37,44,Мужчина,Караганда,Kaspi Bank,Обычный,Мобильное приложение,724,6,32355.26,3,1,1,241874.27,0,1,17,1071306.14,0,4.1,0
38,18,Женщина,Астана,Halyk Bank,Обычный,Мобильное приложение,543,4,206669.86,3,0,1,332223.74,0,2,14,1046903.41,1,3.7,0
39,26,Мужчина,Астана,Bereke Bank,Премиальный,Мобильное приложение,850,10,135663.22,2,1,1,199743.98,3,3,14,591489.58,0,3.8,0
40,44,Женщина,Астана,Jusan Bank,Премиальный,Мобильное приложение,614,10,69145.68,3,1,1,55070.63,0,3,0,824849.39,0,4.7,0
41,50,Мужчина,Алматы,Kaspi Bank,Новый,Отделение,675,10,157538.49,2,1,1,181732.74,0,2,4,834076.6,1,3.5,0
42,44,Мужчина,Алматы,Halyk Bank,Обычный,Мобильное приложение,631,3,256879.84,2,1,1,165325.59,0,0,13,696851.89,0,4.5,0
43,40,Мужчина,Алматы,Bereke Bank,Обычный,Интернет-банк,657,0,163427.42,3,1,0,352518.57,2,1,10,305464.73,2,5.0,0
44,38,Мужчина,Астана,Kaspi Bank,Премиальный,Интернет-банк,601,5,104142.14,3,1,1,142986.52,0,3,12,654858.34,1,3.8,0
45,24,Женщина,Актобе,Kaspi Bank,Обычный,Мобильное приложение,668,3,157109.48,2,1,0,128386.43,0,1,3,122081.58,2,4.4,0
46,33,Женщина,Актобе,Kaspi Bank,Новый,Мобильное приложение,702,5,243006.11,1,0,1,218800.63,2,1,0,0.0,0,3.0,0
47,36,Мужчина,Алматы,Halyk Bank,Обычный,Мобильное приложение,433,5,199518.35,3,1,1,164678.68,2,1,11,706689.89,0,2.6,0
48,54,Мужчина,Алматы,Halyk Bank,Обычный,Отделение,620,3,115603.68,3,1,0,89863.23,1,3,10,1017187.94,2,3.8,0
49,46,Мужчина,Алматы,Kaspi Bank,Обычный,Отделение,617,7,124325.97,3,1,0,128835.85,0,2,16,903500.23,2,5.0,0
50,20,Женщина,Алматы,ForteBank,Обычный,Мобильное приложение,850,3,154856.59,1,1,1,215921.27,4,1,21,7046.29,2,4.4,0
51,45,Женщина,Алматы,Kaspi Bank,Обычный,Мобильное приложение,727,4,119185.32,3,1,0,286878.45,0,2,17,173360.4,1,4.5,0
52,37,Мужчина,Астана,ForteBank,Новый,Отделение,785,4,78107.0,2,1,0,50000.0,2,0,8,935842.55,0,2.9,0
53,33,Женщина,Шымкент,Halyk Bank,Премиальный,Отделение,700,10,190781.98,3,1,1,254111.81,1,3,13,406591.4,1,5.0,0
54,49,Мужчина,Шымкент,Halyk Bank,Премиальный,Колл-центр,657,1,152436.87,2,1,1,188144.35,2,1,9,909211.01,0,4.9,0
55,54,Женщина,Астана,Kaspi Bank,Обычный,Интернет-банк,682,7,191872.96,2,0,1,106283.54,1,3,23,340399.87,0,3.3,0
56,53,Женщина,Астана,ForteBank,Обычный,Колл-центр,751,7,42837.55,1,1,0,146383.05,1,2,18,595032.78,0,4.0,0
57,31,Женщина,Шымкент,Halyk Bank,Обычный,Мобильное приложение,807,9,111306.77,2,1,0,219315.62,1,3,13,0.0,0,3.9,0
58,38,Женщина,Актобе,Halyk Bank,Новый,Колл-центр,677,7,93448.14,2,1,0,147092.3,1,4,13,231657.54,0,4.3,0
59,45,Женщина,Астана,ForteBank,Новый,Мобильное приложение,593,0,86490.32,3,1,1,50000.0,2,1,8,1369820.51,0,5.0,0
60,53,Женщина,Алматы,ForteBank,Новый,Колл-центр,733,6,103743.07,3,0,1,174289.25,3,3,8,1363942.24,0,4.3,0
61,36,Женщина,Алматы,Kaspi Bank,Премиальный,Интернет-банк,573,2,59387.95,1,1,1,153128.55,1,1,10,692887.52,1,3.3,0
62,39,Мужчина,Алматы,Kaspi Bank,Обычный,Мобильное приложение,685,0,213057.04,1,1,1,312071.37,0,2,11,981318.15,2,5.0,0
63,28,Мужчина,Астана,Kaspi Bank,Новый,Мобильное приложение,711,4,87665.08,2,1,1,238549.79,1,2,15,549955.16,0,2.1,0
64,27,Мужчина,Алматы,ForteBank,Обычный,Мобильное приложение,640,3,94149.4,1,1,1,160906.48,1,0,10,1384618.89,0,3.7,0
65,51,Женщина,Астана,Halyk Bank,Новый,Мобильное приложение,568,6,123902.59,1,1,1,199330.22,2,4,10,697082.48,0,3.1,0
66,58,Мужчина,Алматы,Jusan Bank,Новый,Отделение,609,0,192437.78,2,1,1,178832.62,1,6,11,207613.81,0,3.5,0
67,41,Мужчина,Караганда,ForteBank,Обычный,Колл-центр,621,0,0.0,2,1,0,276286.76,1,3,3,808424.69,0,5.0,0
68,54,Мужчина,Алматы,Jusan Bank,Обычный,Мобильное приложение,555,7,155725.66,2,1,0,109441.19,3,2,6,764484.15,0,3.9,1
69,46,Мужчина,Астана,Halyk Bank,Обычный,Мобильное приложение,615,10,61559.22,3,0,1,308289.75,2,1,17,714102.11,0,4.1,0
70,34,Женщина,Алматы,Halyk Bank,Обычный,Отделение,519,3,45892.91,1,0,1,172460.85,1,1,27,1654752.72,1,3.0,0
71,46,Женщина,Алматы,Jusan Bank,Обычный,Мобильное приложение,703,10,75132.07,4,0,1,230096.22,0,5,14,400507.91,0,4.4,0
72,60,Женщина,Актобе,Kaspi Bank,Обычный,Колл-центр,680,8,69726.79,1,1,1,160251.89,1,1,2,1182840.84,0,5.0,0
73,41,Женщина,Шымкент,Halyk Bank,Обычный,Отделение,673,9,145940.93,2,0,0,147357.34,1,1,18,802936.6,1,4.4,0
74,60,Женщина,Алматы,Kaspi Bank,Обычный,Отделение,615,9,0.0,2,1,1,95507.94,1,2,5,607462.43,0,3.6,0
75,18,Женщина,Шымкент,Bereke Bank,Обычный,Колл-центр,627,4,58820.25,1,1,1,203273.15,0,4,13,633206.19,0,4.7,0
76,51,Мужчина,Шымкент,Halyk Bank,Обычный,Отделение,575,10,190128.18,2,0,0,174953.93,1,1,2,986426.63,0,3.6,0
77,43,Женщина,Астана,Kaspi Bank,Обычный,Мобильное приложение,695,5,200119.03,1,0,0,291910.0,0,2,0,1339680.24,1,4.1,0
78,38,Мужчина,Астана,ForteBank,Новый,Колл-центр,527,10,84780.36,2,0,0,316265.38,0,2,21,588302.98,1,3.9,0
79,43,Мужчина,Актобе,Kaspi Bank,Новый,Отделение,657,1,48457.32,3,0,0,163695.94,0,2,15,710923.49,0,3.1,0
80,18,Женщина,Алматы,Bereke Bank,Обычный,Колл-центр,592,10,76711.52,3,0,0,86233.0,0,4,15,1127114.59,0,3.0,0
81,39,Мужчина,Астана,Halyk Bank,Обычный,Мобильное приложение,808,2,136672.55,2,1,0,172761.36,0,3,10,861824.3,0,3.7,0
82,46,Мужчина,Астана,ForteBank,Обычный,Мобильное приложение,697,6,162286.7,3,0,0,172025.99,1,2,8,460005.23,0,3.1,0
83,59,Мужчина,Караганда,Halyk Bank,Премиальный,Колл-центр,649,6,123371.5,2,1,0,264718.9,4,1,11,742765.91,0,2.8,0
84,35,Мужчина,Актобе,Jusan Bank,Обычный,Мобильное приложение,550,5,146360.57,1,1,1,162881.4,2,2,2,526347.37,0,4.2,0
85,32,Мужчина,Актобе,Jusan Bank,Премиальный,Отделение,527,10,150087.66,2,0,0,152438.08,4,1,20,1957802.13,1,5.0,0
86,35,Мужчина,Караганда,Jusan Bank,Обычный,Отделение,694,3,122606.68,1,0,0,50000.0,2,2,3,1311414.38,1,3.3,0
87,52,Женщина,Павлодар,Jusan Bank,Новый,Отделение,811,9,141007.78,1,1,1,174943.77,0,1,9,1182884.12,1,5.0,0
88,45,Женщина,Шымкент,Kaspi Bank,Премиальный,Мобильное приложение,686,3,277788.84,1,0,0,142156.66,0,5,17,944696.85,0,5.0,0
89,35,Мужчина,Караганда,Bereke Bank,Премиальный,Мобильное приложение,665,7,80310.65,2,0,1,234812.48,0,0,14,912772.81,1,4.6,0
90,48,Женщина,Павлодар,ForteBank,Обычный,Мобильное приложение,667,8,31414.99,2,1,1,50000.0,2,2,18,1047227.37,0,4.3,0
91,43,Мужчина,Алматы,Jusan Bank,Новый,Мобильное приложение,659,7,242715.52,3,1,0,220646.13,1,0,22,1391574.48,0,3.8,0
92,53,Мужчина,Шымкент,ForteBank,Новый,Интернет-банк,668,7,238494.02,3,1,1,217312.91,2,3,16,1124548.34,0,3.9,0
93,33,Мужчина,Караганда,Kaspi Bank,Обычный,Мобильное приложение,588,10,242933.33,2,1,1,149125.22,0,2,23,862750.92,0,4.7,0
94,38,Женщина,Актобе,ForteBank,Новый,Колл-центр,562,4,91096.68,1,1,1,179121.52,1,2,1,902330.16,2,3.6,0
95,37,Мужчина,Актобе,Kaspi Bank,Обычный,Мобильное приложение,659,10,169062.91,1,1,1,255717.29,1,3,11,1026769.45,1,5.0,0
96,24,Женщина,Актобе,ForteBank,Обычный,Интернет-банк,784,1,155938.03,1,1,0,180734.94,0,0,11,716202.11,2,4.2,0
97,45,Женщина,Павлодар,Halyk Bank,Новый,Мобильное приложение,719,9,0.0,2,1,1,201260.39,2,3,16,685107.16,1,3.6,0
98,45,Женщина,Астана,Kaspi Bank,Обычный,Мобильное приложение,538,1,89731.21,3,1,0,163317.66,0,3,6,994568.83,1,4.2,0
99,42,Женщина,Алматы,Bereke Bank,Обычный,Отделение,627,1,76126.15,1,1,1,90240.2,1,3,19,941777.62,0,4.5,0
100,39,Женщина,Алматы,Bereke Bank,Обычный,Отделение,715,5,88741.91,1,1,0,197320.95,1,1,20,0.0,0,4.4,0
101,25,Мужчина,Астана,Jusan Bank,Обычный,Мобильное приложение,786,9,174278.89,1,1,1,50000.0,0,2,7,326378.79,0,3.6,0
102,36,Мужчина,Астана,Jusan Bank,Обычный,Мобильное приложение,811,4,68923.29,3,0,0,183130.15,1,2,12,1528153.41,1,5.0,0
103,37,Женщина,Астана,ForteBank,Обычный,Мобильное приложение,631,3,103244.87,3,0,0,226220.41,1,3,10,679521.25,1,4.2,0
104,32,Женщина,Астана,ForteBank,Обычный,Колл-центр,724,3,165887.2,4,1,0,294231.46,1,5,9,1442267.98,0,4.2,0
105,40,Мужчина,Актобе,Kaspi Bank,Обычный,Интернет-банк,672,7,55114.06,2,1,1,255745.83,1,0,0,192419.89,0,3.7,0
106,46,Мужчина,Астана,Bereke Bank,Новый,Мобильное приложение,639,9,52674.04,2,1,0,335135.36,1,2,17,423694.91,0,3.2,1
107,64,Мужчина,Актобе,Jusan Bank,Премиальный,Отделение,655,1,80504.22,1,1,1,120128.74,0,4,9,488372.54,0,4.5,0
108,44,Мужчина,Актобе,ForteBank,Обычный,Мобильное приложение,656,4,122982.33,2,0,1,230954.62,1,1,15,408831.92,0,2.9,0
109,45,Мужчина,Астана,Bereke Bank,Обычный,Мобильное приложение,755,6,170946.04,3,0,1,82289.84,2,2,15,918066.62,0,2.7,0
110,41,Женщина,Астана,Halyk Bank,Обычный,Мобильное приложение,523,6,129049.68,3,1,1,224743.13,1,3,12,477953.28,0,3.9,0
111,18,Женщина,Караганда,Halyk Bank,Обычный,Колл-центр,692,7,0.0,3,1,1,188251.19,2,2,15,78223.5,0,5.0,0
112,41,Женщина,Шымкент,Bereke Bank,Новый,Мобильное приложение,788,2,107849.1,1,0,1,164832.29,0,0,21,484276.17,0,2.7,0
113,42,Женщина,Астана,Halyk Bank,Премиальный,Колл-центр,778,1,123729.45,1,0,0,170715.99,0,4,15,1325330.12,0,3.4,0
114,71,Женщина,Алматы,ForteBank,Новый,Мобильное приложение,701,7,84019.84,1,0,1,174537.58,4,1,25,56592.47,1,3.8,0
115,39,Мужчина,Алматы,Halyk Bank,Обычный,Колл-центр,581,8,112357.73,2,1,0,196623.24,1,3,11,1298564.47,0,2.8,1
116,45,Мужчина,Алматы,ForteBank,Обычный,Отделение,719,0,47673.68,1,0,1,264386.86,1,2,13,688426.17,0,2.3,0
117,41,Женщина,Алматы,ForteBank,Обычный,Мобильное приложение,769,8,48854.06,3,1,0,91993.21,1,2,13,845991.29,1,3.1,0
118,27,Женщина,Алматы,ForteBank,Обычный,Колл-центр,603,7,63161.11,3,0,1,91219.42,1,0,20,643912.26,0,3.8,0
119,55,Мужчина,Шымкент,Halyk Bank,Обычный,Мобильное приложение,682,6,96802.38,1,1,0,129165.23,1,2,16,891474.75,0,4.0,0
120,51,Женщина,Павлодар,Halyk Bank,Обычный,Мобильное приложение,631,7,71965.63,2,1,1,268042.96,1,3,11,1478436.58,0,3.1,0
121,51,Мужчина,Шымкент,ForteBank,Обычный,Мобильное приложение,594,2,177061.37,2,1,1,136540.79,1,1,0,986753.03,0,4.0,0
122,31,Мужчина,Павлодар,Bereke Bank,Премиальный,Мобильное приложение,621,1,155863.78,3,1,1,136215.9,2,2,4,1599597.41,1,5.0,0
123,58,Мужчина,Караганда,Kaspi Bank,Обычный,Мобильное приложение,661,3,180870.77,2,1,1,202950.87,2,3,17,411633.98,1,3.8,0
124,25,Мужчина,Караганда,Kaspi Bank,Обычный,Мобильное приложение,567,6,124030.99,1,1,1,156626.93,1,0,8,1032992.97,0,1.8,1
125,49,Женщина,Астана,Kaspi Bank,Премиальный,Мобильное приложение,552,1,78181.3,2,1,1,160900.51,0,2,19,732913.0,0,3.7,0
126,68,Женщина,Астана,Bereke Bank,Новый,Мобильное приложение,569,6,106343.61,1,0,1,269150.79,1,2,11,964949.82,1,4.6,0
127,30,Мужчина,Актобе,ForteBank,Новый,Интернет-банк,679,6,111898.1,2,1,1,188358.6,0,1,11,736651.28,1,4.9,0
128,35,Женщина,Актобе,Bereke Bank,Премиальный,Колл-центр,518,9,161475.42,1,1,1,182237.73,2,0,6,1655094.39,1,3.8,0
129,43,Женщина,Астана,ForteBank,Премиальный,Мобильное приложение,450,8,96653.92,3,1,1,66355.59,2,4,7,459272.13,0,2.7,0
130,35,Женщина,Алматы,Halyk Bank,Обычный,Колл-центр,773,2,105830.95,2,1,1,121253.96,0,5,16,1908421.35,0,3.5,0
131,23,Женщина,Караганда,Jusan Bank,Обычный,Отделение,558,8,89687.01,2,1,0,138582.44,1,2,6,1533534.65,0,4.9,0
132,42,Мужчина,Алматы,Kaspi Bank,Обычный,Мобильное приложение,632,6,160514.88,1,1,1,134900.8,4,2,17,555264.54,0,4.0,1
133,29,Женщина,Алматы,Halyk Bank,Обычный,Мобильное приложение,733,10,264716.83,2,1,0,236591.93,1,2,11,718575.76,0,4.3,0
134,47,Мужчина,Караганда,Halyk Bank,Обычный,Интернет-банк,520,7,175908.62,1,1,1,333921.8,1,6,11,1243529.23,0,3.1,0
135,30,Женщина,Астана,Kaspi Bank,Обычный,Колл-центр,520,2,111156.54,1,1,1,149658.13,0,0,10,161582.66,1,4.1,0
136,60,Мужчина,Шымкент,Halyk Bank,Новый,Колл-центр,593,4,158018.92,2,1,1,260957.77,2,3,8,373751.65,0,3.6,0
137,32,Женщина,Актобе,Kaspi Bank,Обычный,Отделение,736,10,0.0,4,0,1,330215.0,3,1,12,1086559.55,1,4.1,0
138,38,Женщина,Астана,Kaspi Bank,Обычный,Отделение,648,6,120886.87,2,1,0,90452.61,0,0,9,1055660.17,2,5.0,0
139,51,Мужчина,Астана,Halyk Bank,Обычный,Отделение,649,7,105837.45,1,1,1,251849.34,1,1,19,285467.87,0,2.6,0
140,27,Мужчина,Алматы,Jusan Bank,Обычный,Колл-центр,623,5,119035.13,2,1,1,284050.5,0,2,6,1233590.16,1,3.7,0
141,44,Женщина,Алматы,Kaspi Bank,Премиальный,Колл-центр,700,5,173670.6,3,0,0,208337.41,1,3,15,861167.62,0,4.3,0
142,57,Женщина,Караганда,Halyk Bank,Обычный,Мобильное приложение,778,4,57802.67,1,1,1,82337.56,0,4,10,1509417.3,2,3.4,1
143,22,Мужчина,Астана,Kaspi Bank,Обычный,Отделение,850,3,203946.59,4,0,0,104911.38,1,2,12,429311.59,0,3.3,0
144,44,Женщина,Алматы,Halyk Bank,Обычный,Отделение,636,6,167198.65,2,1,1,50000.0,0,4,16,270108.28,0,4.2,0
145,45,Мужчина,Алматы,ForteBank,Новый,Мобильное приложение,787,9,171014.17,4,1,1,244049.66,2,3,7,524774.58,1,4.8,0
146,51,Мужчина,Астана,Jusan Bank,Обычный,Мобильное приложение,739,4,120624.22,2,1,0,159000.03,0,4,22,1222609.32,1,5.0,0
147,27,Мужчина,Астана,Jusan Bank,Обычный,Интернет-банк,674,7,104872.33,2,1,1,153438.51,1,3,5,907675.92,0,1.8,0
148,26,Мужчина,Шымкент,Kaspi Bank,Обычный,Интернет-банк,451,0,114121.73,3,1,1,114986.87,0,4,12,674997.5,0,4.1,0
149,48,Женщина,Астана,Kaspi Bank,Премиальный,Колл-центр,615,7,105105.02,3,1,0,206786.8,1,1,12,1530489.3,1,4.0,0
150,45,Женщина,Алматы,Kaspi Bank,Обычный,Мобильное приложение,619,4,121496.65,3,1,1,217474.65,1,2,16,539137.99,0,2.7,0
151,45,Мужчина,Астана,Bereke Bank,Новый,Мобильное приложение,682,3,143630.8,3,1,0,127881.25,1,2,9,1067394.65,1,3.6,0
152,46,Женщина,Актобе,ForteBank,Обычный,Мобильное приложение,632,5,203039.57,2,1,1,161351.8,0,3,19,1693184.36,2,3.7,0
153,33,Мужчина,Алматы,Kaspi Bank,Обычный,Отделение,599,6,81631.59,1,1,1,69145.0,3,1,16,411629.68,0,5.0,0
154,44,Женщина,Шымкент,Kaspi Bank,Обычный,Колл-центр,832,2,130380.32,2,1,1,205690.9,1,1,18,1300279.23,2,4.4,0
155,45,Мужчина,Шымкент,Halyk Bank,Премиальный,Интернет-банк,767,3,39522.74,3,0,1,166128.01,4,3,13,984959.87,1,5.0,1
156,33,Женщина,Караганда,Kaspi Bank,Обычный,Интернет-банк,467,6,141573.23,3,0,1,182663.8,3,2,4,704107.64,0,4.5,0
157,64,Женщина,Алматы,Jusan Bank,Новый,Мобильное приложение,624,6,12034.97,2,1,1,118249.14,1,2,12,485186.52,0,4.7,0
158,47,Мужчина,Павлодар,Halyk Bank,Новый,Мобильное приложение,706,2,61860.95,2,0,1,135887.27,0,3,15,1719794.57,1,3.9,0
159,27,Женщина,Шымкент,ForteBank,Обычный,Интернет-банк,769,8,98478.2,1,1,1,245968.37,1,3,12,857675.04,0,3.1,0
160,49,Мужчина,Актобе,Halyk Bank,Новый,Колл-центр,612,2,16838.73,2,1,1,241158.4,0,0,16,1298714.16,1,3.7,0
161,30,Мужчина,Алматы,Kaspi Bank,Обычный,Мобильное приложение,630,7,69986.14,2,1,0,255879.91,0,5,11,297657.83,0,3.3,1
162,51,Мужчина,Караганда,ForteBank,Обычный,Мобильное приложение,658,7,169105.55,3,1,1,204499.21,1,3,9,1433336.72,0,5.0,0
163,55,Мужчина,Караганда,ForteBank,Обычный,Отделение,709,2,0.0,2,1,1,66990.73,2,5,7,1754961.68,0,3.7,0
164,32,Мужчина,Астана,Halyk Bank,Обычный,Отделение,511,6,130582.11,1,1,1,290494.87,0,0,3,807410.03,1,1.5,0
165,53,Мужчина,Астана,Halyk Bank,Обычный,Мобильное приложение,468,2,174130.96,2,0,1,158799.26,0,3,7,604355.21,0,3.8,0
166,46,Мужчина,Шымкент,Jusan Bank,Новый,Мобильное приложение,762,1,244456.31,2,1,1,279126.85,1,3,6,1501023.62,0,3.7,0
167,51,Мужчина,Алматы,Kaspi Bank,Обычный,Отделение,560,6,57669.76,2,1,1,209695.6,3,1,15,1118650.31,1,5.0,0
168,64,Женщина,Караганда,Halyk Bank,Обычный,Мобильное приложение,841,7,121096.72,2,1,0,188602.56,0,3,13,1248007.42,2,5.0,0
169,39,Женщина,Алматы,Halyk Bank,Обычный,Интернет-банк,572,8,205525.72,3,1,0,120302.08,0,2,10,872065.39,1,4.4,0
170,32,Мужчина,Алматы,ForteBank,Обычный,Мобильное приложение,633,0,63715.9,2,1,1,152986.46,0,2,12,1602991.73,0,3.4,0
171,31,Мужчина,Шымкент,Kaspi Bank,Обычный,Отделение,683,8,140453.91,4,0,1,148841.43,3,2,9,675117.49,1,2.4,0
172,32,Мужчина,Алматы,ForteBank,Обычный,Отделение,458,1,193968.67,1,1,0,164049.55,2,3,14,922696.72,0,4.4,0
173,41,Женщина,Павлодар,Kaspi Bank,Новый,Мобильное приложение,850,2,198372.99,3,1,1,269715.56,1,4,13,735143.26,1,4.4,0
174,46,Женщина,Актобе,Kaspi Bank,Премиальный,Мобильное приложение,614,7,115474.58,2,1,1,107051.72,2,1,12,902307.16,0,4.8,0
175,45,Мужчина,Шымкент,ForteBank,Обычный,Отделение,574,1,109589.88,1,1,1,205232.23,0,1,8,990087.13,1,5.0,0
176,51,Мужчина,Караганда,ForteBank,Обычный,Мобильное приложение,545,6,93842.04,4,1,0,272231.94,1,2,15,1025510.08,0,4.4,0
177,42,Мужчина,Актобе,Jusan Bank,Обычный,Мобильное приложение,682,10,117297.16,3,0,1,178262.5,2,3,14,233350.26,0,4.9,0
178,59,Мужчина,Алматы,Halyk Bank,Премиальный,Мобильное приложение,676,7,234241.33,2,1,1,180845.02,1,2,5,1115718.65,0,3.5,0
179,38,Женщина,Актобе,Halyk Bank,Обычный,Мобильное приложение,548,9,144752.46,1,1,1,147679.75,3,0,3,259662.75,0,3.9,0
180,74,Женщина,Алматы,ForteBank,Обычный,Интернет-банк,526,4,0.0,1,0,0,94207.08,2,2,18,523193.02,0,2.8,1
181,49,Мужчина,Астана,Halyk Bank,Обычный,Отделение,744,10,101151.55,1,1,1,151884.72,0,2,7,454041.47,0,3.6,0
182,31,Женщина,Астана,Kaspi Bank,Обычный,Мобильное приложение,590,2,263847.1,1,0,1,236755.48,0,3,17,1023431.3,1,4.0,0
183,29,Мужчина,Шымкент,Kaspi Bank,Новый,Интернет-банк,495,10,141054.24,3,1,0,233913.82,0,4,6,1399768.53,1,4.1,0
